Registration number ,A,B,C,D,E,F,G,,,,
2103573,Bees,Bryophytes,Butterflies,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2111326,Bees,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2200520,Bees,Bird,Butterflies,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,,,,
2200562,Bees,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2200572,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2200598,Bees,Bryophytes,Butterflies,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2200618,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2200630,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2200650,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,,,,
2200694,Bees,Bird,Bryophytes,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2200703,Bees,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2200765,Bees,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2200827,Bees,Bird,Bryophytes,Carabids,Isopods,Macromoths,Vascular_plants,,,,
2200835,Bees,Bird,Bryophytes,Butterflies,Ladybirds,Macromoths,Vascular_plants,,,,
2200935,Bees,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2200975,Bees,Bird,Butterflies,Carabids,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2201011,Bees,Bird,Butterflies,Carabids,Hoverflies,Isopods,Vascular_plants,,,,
2201013,Bees,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Vascular_plants,,,,
2201075,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,,,,
2201130,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2201154,Bees,Bird,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2201177,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Vascular_plants,,,,
2201226,Bees,Bird,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2201238,Bees,Bryophytes,Butterflies,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2201313,Bees,Bird,Bryophytes,Butterflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2201331,Bees,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2201419,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2201442,Bird,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,,,,
2201538,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2201542,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,,,,
2201575,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,Vascular_plants,,,,
2201590,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2201655,Bees,Bird,Butterflies,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2201687,Bees,Bryophytes,Butterflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2201726,Bees,Bird,Butterflies,Carabids,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2201816,Bees,Bird,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2201828,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,,,,
2201849,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2201855,Bird,Bryophytes,Butterflies,Carabids,Ladybirds,Macromoths,Vascular_plants,,,,
2201880,Bees,Bird,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,,,,
2201924,Bird,Bryophytes,Butterflies,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2201975,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Grasshoppers_._Crickets,,,,
2202093,Bees,Bird,Butterflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202097,Bees,Bird,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2202169,Bird,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202275,Bees,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Vascular_plants,,,,
2202348,Bird,Bryophytes,Butterflies,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202362,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2202479,Bees,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Vascular_plants,,,,
2202502,Bees,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,,,,
2202528,Bees,Bryophytes,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202571,Bird,Bryophytes,Butterflies,Carabids,Isopods,Macromoths,Vascular_plants,,,,
2202597,Bees,Bird,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202602,Bird,Butterflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2202628,Bees,Bird,Bryophytes,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2202658,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2202694,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2203940,Bird,Bryophytes,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2204384,Bees,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2204441,Bees,Bryophytes,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2204736,Bees,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2205006,Bees,Bird,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2205015,Bees,Bird,Butterflies,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2205047,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2205063,Bird,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2205108,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2205123,Bird,Butterflies,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2205179,Bird,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2205185,Bees,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2205198,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2205279,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2205343,Bees,Bryophytes,Butterflies,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2205344,Bird,Bryophytes,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2205349,Bees,Bird,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2205383,Bees,Bird,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,,,,
2205386,Bees,Butterflies,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2205390,Bees,Bird,Butterflies,Carabids,Ladybirds,Macromoths,Vascular_plants,,,,
2205416,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2205432,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2205479,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2205491,Bees,Bird,Bryophytes,Butterflies,Carabids,Isopods,Grasshoppers_._Crickets,,,,
2205530,Bees,Bird,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2205633,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2206367,Bees,Bird,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2207250,Bees,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2207257,Bees,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,,,,
2207271,Bees,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2207948,Bees,Bird,Butterflies,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,,,,
2207949,Bird,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2208047,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2208067,Bees,Bryophytes,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2208070,Bird,Bryophytes,Butterflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2208720,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2209338,Bees,Bryophytes,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2209937,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2210255,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2210796,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2211374,Bees,Bryophytes,Butterflies,Carabids,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211376,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2211383,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211384,Bees,Bird,Butterflies,Carabids,Isopods,Macromoths,Vascular_plants,,,,
2211389,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211398,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211406,Bees,Bird,Bryophytes,Butterflies,Carabids,Ladybirds,Vascular_plants,,,,
2211415,Bees,Butterflies,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211416,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211419,Bees,Bird,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2211420,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,Vascular_plants,,,,
2211422,Bees,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211436,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Vascular_plants,,,,
2211440,Bees,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2211443,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Vascular_plants,,,,
2211449,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2211450,Bees,Bird,Bryophytes,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2211455,Bees,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2211461,Bird,Bryophytes,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211466,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2211481,Bees,Bird,Bryophytes,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211482,Bees,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211483,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,,,,
2211484,Bees,Bird,Bryophytes,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211485,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211486,Bees,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211488,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2211489,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211492,Bees,Bird,Butterflies,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211504,Bees,Bird,Bryophytes,Butterflies,Carabids,Isopods,Vascular_plants,,,,
2211509,Bees,Bryophytes,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211512,Bees,Bryophytes,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211513,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211530,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211534,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211539,Bees,Bird,Butterflies,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2211540,Bird,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211541,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211543,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2211546,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211548,Bees,Bird,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211550,Bird,Bryophytes,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211552,Bees,Bird,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211553,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2211554,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2211560,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211566,Bees,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211570,Bird,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211572,Bees,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2211582,Bees,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211590,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
